"","yr1status","YrFireName","Species","DBH_cm","Genus_species","CVS_percent","BCHM_m","BTL"
"6058",0,"2003 - B and B","ABCO",31.496,"Abies_concolor",100,4.88,0
"6059",0,"2003 - B and B","ABCO",56.896,"Abies_concolor",1,1.83,1
"6060",1,"2002 - Biscuit","ABCO",35.56,"Abies_concolor",90,7.62,0
"6061",0,"2002 - Tiller","ABCO",22.352,"Abies_concolor",20,0.3,0
"6062",0,"2006 - Shake Table","ABCO",86.36,"Abies_concolor",0,0.3,0
"6063",0,"2006 - Shake Table","ABCO",30.48,"Abies_concolor",0,0.3,0
"6064",0,"2003 - B and B","ABCO",59.436,"Abies_concolor",90,8.84,1
"6065",0,"2003 - B and B","ABCO",44.196,"Abies_concolor",50,4.27,1
"6066",0,"2006 - Shake Table","ABCO",25.4,"Abies_concolor",75,3.05,0
"6067",0,"2003 - B and B","ABCO",33.782,"Abies_concolor",20,2.74,0
"6068",0,"2006 - Shake Table","ABCO",58.42,"Abies_concolor",0,0.3,0
"6069",0,"2003 - B and B","ABCO",60.96,"Abies_concolor",15,2.74,1
"6070",0,"2006 - Shake Table","ABCO",50.8,"Abies_concolor",25,4.57,0
"6071",0,"2003 - B and B","ABCO",34.544,"Abies_concolor",20,0.3,0
"6072",0,"2003 - B and B","ABCO",53.086,"Abies_concolor",20,3.66,0
"6073",0,"2003 - B and B","ABCO",112.776,"Abies_concolor",80,5.18,1
"6074",0,"2006 - Shake Table","ABCO",106.68,"Abies_concolor",25,1.22,0
"6075",0,"2003 - B and B","ABCO",58.674,"Abies_concolor",15,7.32,1
"6076",0,"2003 - Davis Lake","ABCO",35.814,"Abies_concolor",85,4.27,0
"6077",0,"2003 - B and B","ABCO",49.276,"Abies_concolor",55,0.91,0
"6078",1,"2002 - Tiller","ABCO",41.656,"Abies_concolor",10,7.62,1
"6079",0,"2006 - Shake Table","ABCO",50.8,"Abies_concolor",50,3.66,0
"6080",0,"2006 - Shake Table","ABCO",76.2,"Abies_concolor",0,0.3,0
"6081",0,"2006 - Shake Table","ABCO",53.34,"Abies_concolor",0,0.3,0
"6082",0,"2003 - Davis Lake","ABCO",35.306,"Abies_concolor",75,5.49,0
"6083",0,"2006 - Shake Table","ABCO",30.48,"Abies_concolor",50,3.05,1
"6084",0,"2003 - Davis Lake","ABCO",50.546,"Abies_concolor",70,1.22,0
"6085",0,"2006 - Shake Table","ABCO",68.58,"Abies_concolor",90,6.1,1
"6086",0,"2006 - Shake Table","ABCO",68.58,"Abies_concolor",0,0.91,1
"6087",0,"2006 - Shake Table","ABCO",109.22,"Abies_concolor",45,22.56,1
"6088",0,"2002 - Biscuit","ABCO",48.26,"Abies_concolor",0,7.32,1
"6089",0,"2003 - B and B","ABCO",36.83,"Abies_concolor",90,6.4,0
"6090",0,"2003 - B and B","ABCO",38.1,"Abies_concolor",15,2.74,0
"6091",0,"2006 - Shake Table","ABCO",30.48,"Abies_concolor",60,2.13,0
"6092",0,"2003 - B and B","ABCO",45.466,"Abies_concolor",10,2.13,1
"6093",1,"2002 - Apple","ABCO",35.56,"Abies_concolor",33,7.01,0
"6094",0,"2003 - B and B","ABCO",40.894,"Abies_concolor",1,1.22,0
"6095",0,"2003 - B and B","ABCO",39.624,"Abies_concolor",0,0.91,0
"6096",0,"2002 - Biscuit","ABCO",30.48,"Abies_concolor",30,2.13,0
"6097",0,"2003 - B and B","ABCO",43.942,"Abies_concolor",65,2.13,0
"6098",0,"2003 - Davis Lake","ABCO",67.056,"Abies_concolor",60,7.32,1
"6099",0,"2006 - Shake Table","ABCO",35.56,"Abies_concolor",60,1.52,1
"6100",0,"2003 - B and B","ABCO",52.832,"Abies_concolor",50,0.91,0
"6101",0,"2006 - Shake Table","ABCO",66.04,"Abies_concolor",1,3.05,0
"6102",0,"2003 - B and B","ABCO",69.088,"Abies_concolor",60,4.27,1
"6103",0,"2003 - B and B","ABCO",72.644,"Abies_concolor",15,5.49,0
"6104",0,"2003 - B and B","ABCO",42.926,"Abies_concolor",60,0.61,0
"6105",0,"2006 - Shake Table","ABCO",81.28,"Abies_concolor",0,4.27,0
"6106",0,"2006 - Shake Table","ABCO",60.96,"Abies_concolor",0,2.13,1
"6107",0,"2003 - Davis Lake","ABCO",50.292,"Abies_concolor",15,6.4,1
"6108",0,"2006 - Shake Table","ABCO",27.94,"Abies_concolor",25,0.3,0
"6109",0,"2003 - B and B","ABCO",46.482,"Abies_concolor",20,5.18,0
"6110",0,"2003 - B and B","ABCO",47.498,"Abies_concolor",20,7.62,1
"6111",0,"2003 - B and B","ABCO",45.212,"Abies_concolor",45,4.88,1
"6112",0,"2006 - Shake Table","ABCO",99.06,"Abies_concolor",10,6.1,0
"6113",0,"2003 - B and B","ABCO",37.592,"Abies_concolor",2,0,0
